candidate_id,rank,score,reasoning
CAND_0000043,1,1.2000,SKILL_MATCH_FACTOR: 0.70 | CENTRALITY_RARITY_FACTOR: 0.50
CAND_0000028,68,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000029,69,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000033,70,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000034,71,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000035,72,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000036,73,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000041,74,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000042,75,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000045,76,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000047,77,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000048,78,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000050,79,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000053,80,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000055,81,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000056,82,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000057,83,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000059,84,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000067,85,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000070,86,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000073,87,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000076,88,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000077,89,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000078,90,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000079,91,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000080,92,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000081,93,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000084,94,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000085,95,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000086,96,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000092,97,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000093,98,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000098,99,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
CAND_0000100,100,-9.5000,CENTRALITY_RARITY_FACTOR: 0.50 | SKILL_MATCH_FACTOR: 0.00
